Gene stable ID,Gene name
YNL339W-B,
YBR151W,APD1
YDL167C,NRP1
YBL005W,PDR3
YOR377W,ATF1
YDL037C,BSC1
YKL193C,SDS22
YDR223W,CRF1
YDL053C,PBP4
snR85,SNR85
YOR103C,OST2
YGR093W,DRN1
YHR137W,ARO9
YBR226C,
YGL091C,NBP35
YPL141C,FRK1
YGR258C,RAD2
YBR141C,BMT2
YJR091C,JSN1
RUF21,RUF21
YMR243C,ZRC1
YPL235W,RVB2
YDL172C,
YNL230C,ELA1
YEL028W,
YAR073W,IMD1
YER095W,RAD51
YNL231C,PDR16
YPL183W-A,RTC6
YDR143C,SAN1
YGR207C,CIR1
YPL066W,RGL1
YOR152C,ATG40
YAL027W,SAW1
YHR013C,ARD1
YJL080C,SCP160
YOR269W,PAC1
SRG1,SRG1
YIR038C,GTT1
YFR052C-A,
tP(AGG)N,SUF10
YOR344C,TYE7
YPL049C,DIG1
YML065W,ORC1
YFL049W,SWP82
YDR062W,LCB2
YIL170W,HXT12
YLR237W,THI7
YDR327W,
YMR074C,SDD2
YIL121W,QDR2
YGL048C,RPT6
YKR010C,TOF2
YOR221C,MCT1
YOL047C,LDS2
YGL203C,KEX1
YMR164C,MSS11
tQ(UUG)D2,
YGR113W,DAM1
YIL171W-A,
YPR160W,GPH1
YDR381W,YRA1
YDR140W,MTQ2
YDL117W,CYK3
YGR178C,PBP1
YER124C,DSE1
YGR144W,THI4
YMR252C,
YIL157C,COA1
YPL229W,
tK(CUU)G1,
YGL147C,RPL9A
YJR041C,URB2
YKL028W,TFA1
tT(AGU)B,
YNR053C,NOG2
YKR003W,OSH6
YKL146W,AVT3
tS(AGA)D1,
YLR446W,
YLR464W,
YBL030C,PET9
tY(GUA)J1,SUP7
YER168C,CCA1
YLR355C,ILV5
YIL046W,MET30
YDR479C,PEX29
YGR268C,HUA1
YNL134C,
YLR221C,RSA3
YGR220C,MRPL9
YDR100W,TVP15
YLR003C,CMS1
tS(AGA)L,
YNL010W,
YHL037C,
YJL056C,ZAP1
YFR043C,IRC6
YDL130W,RPP1B
YNL208W,
YFL060C,SNO3
YGR040W,KSS1
snR50,SNR50
YMR194W,RPL36A
YBR056W,
YGL029W,CGR1
YBR049C,REB1
YGL171W,ROK1
YNL171C,
YHR067W,HTD2
YOR247W,SRL1
YLR155C,ASP3-1
YOR276W,CAF20
YML102W,CAC2
YLR154W-E,
YPR163C,TIF3
YDL007C-A,
YCL021W-A,
YOR277C,
YDL095W,PMT1
YDR076W,RAD55
tW(CCA)G2,
YLR287C-A,RPS30A
YOR357C,SNX3
YER046W-A,
snR14,SNR14
tN(GUU)C,
YER187W,
YLR375W,STP3
YLR416C,
YGR171C,MSM1
YMR209C,
YMR054W,STV1
YDR013W,PSF1
YLR163W-A,
YFR009W-A,
YJL101C,GSH1
YHR122W,CIA2
YLR108C,
YCR028C-A,RIM1
YKR015C,
YDR454C,GUK1
YBR093C,PHO5
YGL041W-A,
tG(GCC)F2,
YMR005W,TAF4
YER076W-A,
YDL001W,RMD1
YKL137W,CMC1
YIR011C,STS1
YER145C-A,
YNL289W,PCL1
YKL205W,LOS1
YGR092W,DBF2
YHR134W,WSS1
YPR204C-A,
YPL191C,
YDR465C,RMT2
YHR028C,DAP2
YCR096C,HMRA2
YNL084C,END3
YDR250C,
YGR233C,PHO81
YKL059C,MPE1
YMR130W,
YLR257W,
YLL038C,ENT4
YML061C,PIF1
YKR037C,SPC34
YHR197W,RIX1
YJL028W,
YDL086C-A,
YIL038C,NOT3
YPR176C,BET2
YLL007C,LMO1
YLR141W,RRN5
tD(GUC)L1,
YOR208W,PTP2
YMR238W,DFG5
YBR052C,RFS1
YHL026C,
YMR187C,
YGR066C,
YPL094C,SEC62
YNL237W,YTP1
YKL194C,MST1
YLR204W,QRI5
tG(GCC)J2,SUF23
YOR356W,CIR2
YER117W,RPL23B
YDR519W,FPR2
tE(UUC)P,
tL(CAA)C,SUP53
YNL114C,
YDR511W,SDH7
YHR047C,AAP1
YDR234W,LYS4
YGL255W,ZRT1
YCR059C,YIH1
YNR012W,URK1
YJR094C,IME1
YJR159W,SOR1
YGL114W,
YLR350W,ORM2
YLR312C,
YNL109W,
YMR030W,RSF1
YDL008W,APC11
YNL101W,AVT4
YGR155W,CYS4
tS(GCU)Q1,
YMR182W-A,
YDR015C,
YAR031W,PRM9
YML083C,
YLR124W,
tA(UGC)L,
YNL196C,SLZ1
YIR020C,
tC(GCA)B,
YPL158C,AIM44
YAL029C,MYO4
YIL021W,RPB3
YLR063W,BMT6
YML024W,RPS17A
YER066C-A,
tQ(UUG)H,
YDR041W,RSM10
YJL063C,MRPL8
YNL138W-A,YSF3
YDR227W,SIR4
YNL296W,
YER106W,MAM1
YDR530C,APA2
YDR412W,RRP17
YHR128W,FUR1
YDR301W,CFT1
YKL050C,
YPR105C,COG4
YPL135C-A,
YHL024W,RIM4
YLR392C,ART10
YCR004C,YCP4
YDR355C,
YMR037C,MSN2
YDL011C,
YIL007C,NAS2
YNL097C-B,YNL097C-B
YNR034W-A,EGO4
YBR181C,RPS6B
tN(GUU)K,
YAL047C,SPC72
YHR057C,CPR2
YLL025W,PAU17
YLL018C,DPS1
YNL082W,PMS1
YOR133W,EFT1
YGR073C,
YPL269W,KAR9
tK(CUU)P,
YLR201C,COQ9
YDR538W,PAD1
YMR264W,CUE1
tM(CAU)Q1,
YJR156C,THI11
tI(AAU)L2,
YNL073W,MSK1
YCL052C,PBN1
YMR225C,MRPL44
YBL008W,HIR1
YOR020C,HSP10
YIR032C,DAL3
snR39B,SNR39B
YLR206W,ENT2
YKL121W,DGR2
YEL017W,GTT3
YFR015C,GSY1
tM(CAU)O2,EMT2
YPR046W,MCM16
YDR112W,IRC2
YER087C-A,
YGL111W,NSA1
YCR034W,
YPR005C,HAL1
YDR500C,RPL37B
YNL115C,
YBR242W,
YBR126W-A,MEO1
YBR257W,POP4
YNL270C,ALP1
YHR020W,
tR(CCU)J,HSX1
YBL099W,ATP1
YBL056W,PTC3
YKL053C-A,MDM35
YMR190C,SGS1
YKL052C,ASK1
YOL096C,COQ3
YNL249C,MPA43
YDL048C,STP4
YFL038C,YPT1
tM(CAU)J1,EMT5
YOR072W-A,
YDL062W,
YPL086C,ELP3
YDL218W,
YNL112W,DBP2
YNL241C,ZWF1
YLR215C,CDC123
YDR174W,HMO1
YHR069C-A,
YIL077C,
YKR049C,FMP46
YLR466C-B,
YIL104C,SHQ1
YML007W,YAP1
YBR198C,TAF5
YPR092W,
YHR082C,KSP1
YHR153C,SPO16
YDR170C,SEC7
YIL162W,SUC2
YKL165C-A,
YDR282C,MRX10
YLR051C,FCF2
YER004W,FMP52
YLR134W,PDC5
YNR011C,PRP2
YNL207W,RIO2
YCR087W,
YKL127W,PGM1
tE(UUC)B,
YER021W,RPN3
YOR066W,MSA1
YDL009C,
YBR070C,ALG14
YDR290W,YDR290W
YNL125C,ESBP6
tG(GCC)E,
YDR292C,SRP101
YML047W-A,YML047W-A
YDR306C,
YPL096C-A,ERI1
YGR011W,
YER175C,TMT1
YHR213W,
YDL144C,
YPR117W,
YML110C,COQ5
YFL065C,
YNL045W,LAP2
YOL115W,PAP2
YER088C,DOT6
YLR358C,
YNL302C,RPS19B
YBR201W,DER1
YGR179C,OKP1
YLR189C,ATG26
RDN5-3,RDN5-3
YPR086W,SUA7
YCR065W,HCM1
YFR007W,YFH7
YOR348C,PUT4
Q0182,Q0182
YKL107W,
YOR352W,TFB6
YKL115C,
YPL278C,
YCR024C,SLM5
YBR258C,SHG1
YER134C,YER134C
YOR327C,SNC2
YGL260W,
YEL037C,RAD23
YHR103W,SBE22
YHR201C,PPX1
YBR094W,PBY1
YLR031W,
YNR048W,YNR048W
YNL138W,SRV2
YPL205C,
YER175W-A,
Q0085,ATP6
YOR391C,HSP33
snR49,SNR49
YOR050C,YOR050C
YNR050C,LYS9
YLR342W-A,
YDR433W,YDR433W
YPL242C,IQG1
YNL179C,YNL179C
YMR226C,YMR226C
YGR199W,PMT6
tA(UGC)Q,
YJL096W,MRPL49
YJL026W,RNR2
YHR191C,CTF8
YJR101W,RSM26
YLR168C,UPS2
snR24,SNR24
YPR182W,SMX3
YGR247W,CPD1
YGL262W,
YKL211C,TRP3
YPL209C,IPL1
YOR314W,
YHL040C,ARN1
YOL084W,PHM7
YDR079W,PET100
YDR345C,HXT3
YGL241W,KAP114
YHR004C,NEM1
YBR283C,SSH1
YGR154C,GTO1
YOR018W,ROD1
YLR002C,NOC3
YPL007C,TFC8
tQ(UUG)D3,
YPR187W,RPO26
YHR017W,YSC83
YNL300W,TOS6
YDR262W,
YDL126C,CDC48
YMR271C,URA10
YML117W,NAB6
YBL009W,ALK2
YNL128W,TEP1
YER049W,TPA1
YGR212W,SLI1
YCL063W,VAC17
YLR127C,APC2
YDR315C,IPK1
YMR055C,BUB2
YBL052C,SAS3
YCR038C,BUD5
YGL201C,MCM6
YOR374W,ALD4
YPR063C,
YJR058C,APS2
YOR034C,AKR2
YGR035C,
YOL118C,
YBL085W,BOI1
YDR126W,SWF1
YIL049W,DFG10
YNL277W-A,
YEL024W,RIP1
tP(UGG)M,SUF7
YIL014C-A,YIL014C-A
YBL113W-A,
YDR067C,OCA6
YEL027W,VMA3
YGL116W,CDC20
YMR214W,SCJ1
YGR080W,TWF1
YDR048C,
YDL060W,TSR1
YKL190W,CNB1
YPL126W,NAN1
YOR012W,
YLL006W-A,
YHR192W,LNP1
YDR255C,RMD5
YFR050C,PRE4
snR33,SNR33
YLR248W,RCK2
YDR031W,MIX14
YDR138W,HPR1
YLR349W,
YBL108W,
YKL204W,EAP1
YDR070C,FMP16
YOL054W,PSH1
YPL171C,OYE3
YJR017C,ESS1
YPL132W,COX11
YBR275C,RIF1
YOR053W,YOR053W
YPL143W,RPL33A
YCR015C,CTO1
YOR198C,BFR1
YDR399W,HPT1
YKL017C,HCS1
YKR064W,OAF3
YIL055C,
YOR287C,RRP36
YDR494W,RSM28
YER073W,ALD5
YNL069C,RPL16B
YNL111C,CYB5
YCL049C,
YBR133C,HSL7
YPR040W,TIP41
YPL253C,VIK1
YNL166C,BNI5
YPR021C,AGC1
YPL207W,TYW1
YJR068W,RFC2
YER075C,PTP3
YNR057C,BIO4
tK(CUU)G3,
YFR019W,FAB1
YHR040W,BCD1
YFL042C,
YMR223W,UBP8
tG(UCC)N,SUF6
YEL031W,SPF1
YDR368W,YPR1
YNL067W-B,YNL067W-B
YLR295C,ATP14
YLR307C-A,
YCR101C,
YML007C-A,
YMR256C,COX7
YKL192C,ACP1
YFR042W,KEG1
YOL139C,CDC33
YBR173C,UMP1
YNL242W,ATG2
YDR192C,NUP42
YJL140W,RPB4
YBR170C,NPL4
YCR024C-B,
YBR184W,
YBR203W,COS111
YFL005W,SEC4
YNL292W,PUS4
tL(UAA)D,
YDR251W,PAM1
YPL201C,YIG1
YIR013C,GAT4
YHR063W-A,
YLR284C,ECI1
YNL266W,
YIL043C,CBR1
snR66,SNR66
YBR249C,ARO4
YAR060C,
YMR251W,GTO3
YBR265W,TSC10
YGL071W,AFT1
YGL144C,ROG1
YPL188W,POS5
YGL023C,PIB2
snR5,SNR5
YIL071W-A,
YIL130W,ASG1
YER023C-A,
Q0050,AI1
YFL017W-A,SMX2
YJR024C,MDE1
YLL019C,KNS1
YNL339W-A,
YLR138W,NHA1
YNR066C,
YHR178W,STB5
YJR151C,DAN4
YGR015C,
YGR138C,TPO2
YKL162C,
YBL079W,NUP170
YER046W,SPO73
YMR042W,ARG80
YDL185W,VMA1
YJR032W,CPR7
YDL158C,
YBR104W,YMC2
YFL031W,HAC1
YHL033C,RPL8A
YAL067W-A,
YHR066W,SSF1
YCR085W,
tL(CAA)M,
PWR1,PWR1
YKL156W,RPS27A
YDR241W,BUD26
YHR029C,YHI9
YIL138C,TPM2
YOL055C,THI20
YGL236C,MTO1
YAL049C,AIM2
YNR009W,NRM1
YBR048W,RPS11B
YER102W,RPS8B
YJL177W,RPL17B
YDR146C,SWI5
YIL154C,
YJL131C,AIM23
YKL056C,TMA19
YPL069C,BTS1
YHR073C-B,
YOR180C,DCI1
YMR078C,CTF18
YDL202W,MRPL11
YBR032W,
tW(CCA)K,
YBR273C,UBX7
YER005W,YND1
YDL192W,ARF1
tH(GUG)Q,
YLR281C,
YOR394C-A,
YDR308C,SRB7
YDR484W,VPS52
YLR385C,SWC7
tV(AAC)E1,
YML120C,NDI1
YEL073C,
YDL178W,DLD2
YLR136C,TIS11
YNL100W,
YKR008W,RSC4
YML118W,NGL3
YDR106W,ARP10
ITS1-2,ITS1-2
YLR406C,RPL31B
YDR330W,UBX5
YOR279C,RFM1
YIL125W,KGD1
YEL032C-A,
YER167W,BCK2
YML031W,NDC1
ETS1-2,ETS1-2
YDR179W-A,NVJ3
YOL008W,COQ10
YBR278W,DPB3
YNL326C,PFA3
YDR213W,UPC2
YMR087W,
YOR111W,
YGL257C,MNT2
YMR220W,ERG8
YBR154C,RPB5
YBR191W-A,
YIR017C,MET28
YHL028W,WSC4
YOR015W,
YFR012W-A,
YHL050W-A,
YGR060W,ERG25
YGL206C,CHC1
YOR321W,PMT3
YHR081W,LRP1
YDR281C,PHM6
YER083C,GET2
YPL030W,TRM44
YHR071C-A,
YPR162C,ORC4
YPL283W-B,
YMR138W,CIN4
YNL215W,IES2
YMR053C,STB2
YMR122W-A,
YLR118C,YLR118C
YEL030W,ECM10
YFR038W,IRC5
YMR041C,ARA2
YGR058W,PEF1
YER153C,PET122
YGL195W,GCN1
YER137W-A,
YNL225C,CNM67
YPR074W-A,
YMR029C,FAR8
YMR092C,AIP1
YER113C,TMN3
YIL052C,RPL34B
YHL038C,CBP2
YGL192W,IME4
YIL078W,THS1
YLR036C,
YOL057W,
YPL104W,MSD1
YFR020W,CSS2
YLL009C,COX17
YNR044W,AGA1
YLL035W,GRC3
YOL157C,IMA2
tK(CUU)E1,
YBL045C,COR1
YKL101W,HSL1
YMR291W,TDA1
YLR426W,TDA5
RDN37-1,RDN37-1
tL(CAA)L,
YOR347C,PYK2
YOR143C,THI80
YGR259C,
YMR023C,MSS1
YLL049W,LDB18
YBL029W,
YNR059W,MNT4
YGR071C,ENV11
YOL058W,ARG1
YEL015W,EDC3
YDR279W,RNH202
YNL235C,
YKR035C,OPI8
YKR081C,RPF2
YBR221C,PDB1
YJR143C,PMT4
YPR078C,
YDL173W,PAR32
YBR123C,TFC1
YJR073C,OPI3
YOR362C,PRE10
YOR249C,APC5
YKL185W,ASH1
YIL091C,UTP25
YFL040W,
YKL080W,VMA5
YLR087C,CSF1
YIL073C,SPO22
YIL034C,CAP2
YDR522C,SPS2
YKL093W,MBR1
YDR400W,URH1
YJL211C,
YAR008W,SEN34
YJL225C,
YFR010W,UBP6
YMR258C,ROY1
YOR013W,IRC11
tC(GCA)G,
YCR045C,RRT12
YJL007C,
YDL141W,BPL1
YIR041W,PAU15
YHR008C,SOD2
YJL122W,ALB1
YKL152C,GPM1
YLR137W,RKM5
YOR123C,LEO1
YHR032W,ERC1
YDL105W,NSE4
YPL096W,PNG1
tD(GUC)J1,
YOL052C-A,DDR2
YDR318W,MCM21
YIL037C,PRM2
YDR481C,PHO8
YIL142W,CCT2
YJL198W,PHO90
YER130C,COM2
YNL222W,SSU72
YNL260C,LTO1
YNL156C,NSG2
YKL197C,PEX1
YOR390W,FEX1
YER138W-A,
Q0120,BI4
YFL034C-A,RPL22B
YFR012W,DCV1
YGL083W,SCY1
YML084W,
ITS1-1,ITS1-1
YOL077C,BRX1
YOR291W,YPK9
YMR304C-A,
YNL279W,PRM1
YNL281W,HCH1
YLR420W,URA4
YGL198W,YIP4
YCR061W,YCR061W
YPR145C-A,
YMR185W,RTP1
YMR278W,PRM15
YML111W,BUL2
YCR040W,MATALPHA1
YJL125C,GCD14
YGL218W,YGL218W
YPR052C,NHP6A
YDR390C,UBA2
tR(UCU)G1,
YML002W,
YBR085C-A,
YER158C,
YLR268W,SEC22
YFL017C,GNA1
YGR143W,SKN1
YLR466C-A,
YHL022C,SPO11
YDL122W,UBP1
YHR165W-A,
YCR106W,RDS1
YBR020W,GAL1
YMR108W,ILV2
YDR420W,HKR1
YNL053W,MSG5
YKR106W,GEX2
YDR486C,VPS60
YBR262C,
YGR221C,TOS2
YJL144W,
snR59,SNR59
YER068W,MOT2
YOR030W,DFG16
YBR233W,PBP2
YBR195C,MSI1
YLR041W,
YLL012W,YEH1
YGL130W,CEG1
YDR323C,PEP7
YOR319W,HSH49
YNL236W,SIN4
YPL265W,DIP5
YBR300C,
YGL042C,
YCL047C,POF1
YNR001W-A,
YLR022C,SDO1
YIL177W-A,
YMR035W,IMP2
YHR083W,SAM35
YGR090W,UTP22
YEL020C-B,
YLR382C,NAM2
tK(UUU)L,
YNL327W,EGT2
YLR273C,PIG1
YML009W-B,YML009W-B
YLR172C,DPH5
YER119C,AVT6
YOL077W-A,ATP19
YPL080C,
YKR076W,ECM4
tR(ACG)L,
YDR242W,AMD2
YOR282W,
YCL058W-A,ADF1
YOL021C,DIS3
YJL207C,LAA1
YNR018W,RCF2
YLR154W-F,
YPL148C,PPT2
YIL023C,YKE4
YGR121W-A,
YDR072C,IPT1
YNL198C,
YER064C,VHR2
YLR374C,
YLR315W,NKP2
YOL130W,ALR1
YGR206W,MVB12
YMR175W,SIP18
YFL061W,DDI2
YER147C,SCC4
YKR028W,SAP190
YNL271C,BNI1
tT(AGU)N1,
YLR444C,
YBR072C-A,
YDR346C,SVF1
YMR270C,RRN9
YOL136C,PFK27
YIL020C,HIS6
YOL083W,ATG34
YCR075W-A,EGO2
tM(CAU)J2,EMT3
tA(AGC)M1,
YNL070W,TOM7
tD(GUC)N,
Q0110,BI2
YFL037W,TUB2
YJR078W,BNA2
YPL005W,AEP3
YER085C,
YJL059W,YHC3
YDL091C,UBX3
YGR068W-A,
tA(AGC)K2,
YEL050W-A,
YGL119W,COQ8
YOR040W,GLO4
tL(UAA)B1,
YIL135C,VHS2
YHR104W,GRE3
YJL143W,TIM17
YAL004W,
YDL074C,BRE1
YJR124C,
YPL139C,UME1
YMR043W,MCM1
YLR174W,IDP2
YIR024C,
YER065C,ICL1
YEL029C,BUD16
YCR102C,
YKR009C,FOX2
YJR059W,PTK2
YOR110W,TFC7
YER151C,UBP3
YIL093C,RSM25
YGL054C,ERV14
YHR213W-B,
YML054C-A,
YBL109W,
YPL128C,TBF1
YER136W,GDI1
YDL211C,
YDR261C,EXG2
YJL217W,REE1
YNL255C,GIS2
YJR076C,CDC11
YGL044C,RNA15
YNL051W,COG5
YNL148C,ALF1
YLL019W-A,
YMR107W,SPG4
YNR075C-A,
YDL147W,RPN5
YDL081C,RPP1A
YOR294W,RRS1
YLR258W,GSY2
YOR288C,MPD1
YDR283C,GCN2
YIL099W,SGA1
YBL104C,SEA4
YLR330W,CHS5
YLR244C,MAP1
YHL034W-A,
YDR340W,
YIL020C-A,
YGL229C,SAP4
YMR316C-B,
YBR157C,ICS2
YGR055W,MUP1
YLR299C-A,
tV(CAC)D,
YDL108W,KIN28
YGR072W,UPF3
YKL068W,NUP100
YDR313C,PIB1
YPL271W,ATP15
YCR019W,MAK32
YBL017C,PEP1
YDR496C,PUF6
YPL027W,SMA1
YMR279C,
YJL222W-B,
YCL007C,YCL007C
YHR019C,DED81
YLL041C,SDH2
YCR033W,SNT1
YAR002C-A,ERP1
YNL085W,MKT1
YBR289W,SNF5
YPL076W,GPI2
YPL100W,ATG21
YBR035C,PDX3
YER079W,
YMR244W,
YCL005W-A,VMA9
YLR053C,
YDR537C,
YIL019W,FAF1
YDL205C,HEM3
YML126C,ERG13
YDL054C,MCH1
YLR232W,
YLR086W,SMC4
YNL037C,IDH1
YHR202W,
YMR184W,ADD37
YFR046C,CNN1
YGL067W,NPY1
tP(UGG)H,SUF8
YLR298C,YHC1
YHL016C,DUR3
YDR531W,CAB1
tG(GCC)D1,
YER023W,PRO3
YGR151C,
YOL099C,
YBR152W,SPP381
YDR226W,ADK1
YGL034C,
YPR011C,
tD(GUC)J2,
YLR283W,
YDL133C-A,RPL41B
YOR182C,RPS30B
YIL083C,CAB2
YHR044C,DOG1
YDR188W,CCT6
tS(UGA)Q2,
YOR219C,STE13
YGR292W,MAL12
YHR140W,
YHR072W-A,NOP10
YDL237W,AIM6
YDR524C,AGE1
YPR038W,IRC16
YLR238W,FAR10
YGR184C,UBR1
YMR010W,ANY1
YCR048W,ARE1
YGR024C,THG1
YGL237C,HAP2
YPR045C,THP3
YPL033C,SRL4
YER024W,YAT2
YHR210C,
YKL092C,BUD2
tV(AAC)G1,
YDR189W,SLY1
YJL047C-A,
YMR165C,PAH1
YGR062C,COX18
YGL161C,YIP5
YMR206W,
YMR019W,STB4
YCR073C,SSK22
tI(AAU)N2,
YBR127C,VMA2
YPR136C,
YGR076C,MRPL25
YOR232W,MGE1
tT(AGU)J,
YML012C-A,YML012C-A
YNL068C,FKH2
tA(AGC)H,
snR39,SNR39
YMR123W,PKR1
YJL100W,LSB6
YOL061W,PRS5
YJL206C,
YKL222C,
YHR032W-A,
YJL005W,CYR1
YLL059C,
YHR139C,SPS100
YPL239W,YAR1
YMR170C,ALD2
YDR090C,
RUF5-1,RUF5-1
YOL092W,YPQ1
YCL018W,LEU2
YBL023C,MCM2
YDR161W,ACL4
YLR048W,RPS0B
tG(GCC)J1,
YMR280C,CAT8
YBL044W,
YPL118W,MRP51
YEL025C,YEL025C
tL(UAA)J,SUP51
YNR077C,
YNR022C,MRPL50
YBR017C,KAP104
YJR126C,VPS70
YDR376W,ARH1
YKL120W,OAC1
YDR450W,RPS18A
tE(UUC)J,
YBR079C,RPG1
YDR402C,DIT2
YHR155W,LAM1
YHR211W,FLO5
YBR137W,
YGR049W,SCM4
YJL026C-A,
YPR075C,OPY2
YNL259C,ATX1
YOR162C,YRR1
YOR158W,PET123
YHL012W,
YAL026C-A,
YDR257C,RKM4
YGL062W,PYC1
YIR030C,DCG1
YGL103W,RPL28
IRT1,IRT1
YML037C,
YGR124W,ASN2
YGR294W,PAU12
YBR291C,CTP1
YOL032W,OPI10
YPL222W,FMP40
YIL059C,
YMR219W,ESC1
YPL153C,RAD53
YKL175W,ZRT3
YOR313C,SPS4
YMR070W,MOT3
YDR525W,API2
YDR074W,TPS2
tM(CAU)C,
YGL259W,YPS5
YML009C,MRPL39
YBR045C,GIP1
YLR120W-A,
YPL134C,ODC1
YDL035C,GPR1
YBR036C,CSG2
YER016W,BIM1
YLR229C,CDC42
YMR151W,YIM2
YML053C,
YJR052W,RAD7
YGR027C,RPS25A
YPL093W,NOG1
YHL018W,
YMR196W,
YMR116C,ASC1
YDR449C,UTP6
YML093W,UTP14
YIL151C,ESL1
YDR491C,
YGR120C,COG2
YPR023C,EAF3
tP(UGG)L,
YLR277C,YSH1
YJR075W,HOC1
YGL093W,SPC105
YGR168C,
YAL034C,FUN19
YOR090C,PTC5
YDR463W,STP1
YBR276C,PPS1
tQ(CUG)M,CDC65
YJR154W,
YLR316C,TAD3
YFR057W,
YGL001C,ERG26
YML009C-A,YML009C-A
YLR459W,GAB1
tL(UAG)L1,
YFL015W-A,
YKR098C,UBP11
YIL062C,ARC15
YER006C-A,
YML057C-A,YML057C-A
YNL168C,FMP41
tT(UAG)Q2,
YML003W,
YDL064W,UBC9
YOL129W,VPS68
YOR037W,CYC2
YOR280C,FSH3
YBR236C,ABD1
YAR023C,
YIL134C-A,
YOR189W,IES4
YDR190C,RVB1
YGL112C,TAF6
YMR006C,PLB2
YML094W,GIM5
YKR051W,
YGR033C,TIM21
YGL190C,CDC55
YHR009C,TDA3
YDL231C,BRE4
YHR123W,EPT1
YDR124W,
YGL246C,RAI1
YMR198W,CIK1
YML108W,
YIL160C,POT1
YMR158W-B,YMR158W-B
YLR379W,
YBL100W-C,YBL100W-C
YDR145W,TAF12
YDL061C,RPS29B
YML019W,OST6
YCR001W,
YKL032C,IXR1
YLR263W,RED1
YPL256C,CLN2
YPL099C,
YMR176W,ECM5
YGR114C,
YDL040C,NAT1
YHR052W,CIC1
YGR128C,UTP8
YDR312W,SSF2
YLR102C,APC9
YKL010C,UFD4
YNL158W,PGA1
YBL006W-A,
YDR162C,NBP2
YDL101C,DUN1
YML081C-A,ATP18
YAL061W,BDH2
YKR041W,
YHR091C,MSR1
YCL010C,SGF29
YLR275W,SMD2
tS(AGA)A,
YDR336W,MRX8
YMR002W,MIX17
YIL096C,BMT5
YER062C,
YKL090W,CUE2
YGR059W,SPR3
YNL322C,KRE1
YJR149W,
YJR157W,
YOR063W,RPL3
YLR091W,GEP5
YEL050C,RML2
tL(GAG)G,
YPL064C,CWC27
YPL101W,ELP4
YPL247C,
YNL337W,
YMR276W,DSK2
YMR301C,ATM1
YDR103W,STE5
YGL208W,SIP2
YPR066W,UBA3
YNL286W,CUS2
YDR488C,PAC11
snR34,SNR34
YFL048C,EMP47
YJL027C,
YBR141W-A,
tG(GCC)P1,
YFR053C,HXK1
YGR132C,PHB1
YPR093C,ASR1
tS(AGA)D2,
YGL092W,NUP145
YPL037C,EGD1
YOR310C,NOP58
YBL031W,SHE1
YMR063W,RIM9
YGL178W,MPT5
YKL033W-A,
YGR296C-A,
YLR084C,RAX2
YHR036W,BRL1
YKL176C,LST4
YMR229C,RRP5
YOR238W,
YOR367W,SCP1
YOR297C,TIM18
YJL014W,CCT3
YPR165W,RHO1
YDR009W,GAL3
YIL164C,NIT1
YLR435W,TSR2
YLR112W,
YNL147W,LSM7
YOR176W,HEM15
YPL177C,CUP9
YJL203W,PRP21
YDR034C,LYS14
YFL036W,RPO41
YHR217C,
YJL174W,KRE9
YDR329C,PEX3
tW(UCA)Q,
YDL229W,SSB1
YKR029C,SET3
YDR285W,ZIP1
YAL021C,CCR4
YPL157W,TGS1
YGL163C,RAD54
YJR035W,RAD26
YPL194W,DDC1
tG(GCC)F1,SUF20
tE(UUC)E1,
YBR196C,PGI1
YOR183W,FYV12
YDL025W-A,
YMR071C,TVP18
YPL119C-A,
YOR236W,DFR1
YDL203C,ACK1
YDL084W,SUB2
YLR361C-A,
YOR042W,CUE5
YBL051C,PIN4
YIL142C-A,
YLR447C,VMA6
YER019C-A,SBH2
YML004C,GLO1
YDR468C,TLG1
YAL002W,VPS8
YLR412W,BER1
YOR246C,ENV9
YKL184W,SPE1
YOR073W-A,
YML046W,PRP39
YNL283C,WSC2
YBR006W,UGA2
YLR018C,POM34
YLR344W,RPL26A
YPR047W,MSF1
YDR472W,TRS31
YDL030W,PRP9
YGL209W,MIG2
Q0092,Q0092
YOR056C,NOB1
YJR090C,GRR1
YKL019W,RAM2
YML043C,RRN11
YOL075C,
YDR107C,TMN2
YHR156C,LIN1
YPL252C,YAH1
YOR383C,FIT3
YKR039W,GAP1
YOR263C,
YOR101W,RAS1
YHR077C,NMD2
tS(GCU)F,
YGR123C,PPT1
YNL202W,SPS19
YCL023C,
YNL064C,YDJ1
YER121W,
YOL141W,PPM2
YDL127W,PCL2
YDR237W,MRPL7
YER101C,AST2
YHR144C,DCD1
YBR102C,EXO84
YNL197C,WHI3
YIL032C,
YGR013W,SNU71
YOR125C,CAT5
YOR022C,DDL1
YKR043C,SHB17
YGR051C,
tF(GAA)Q,
YJR062C,NTA1
YLR240W,VPS34
YDR321W,ASP1
YGL191W,COX13
YDR195W,REF2
YDR360W,OPI7
YNL181W,PBR1
YOR071C,NRT1
tT(AGU)C,
YGR192C,TDH3
YHR012W,VPS29
YLR408C,BLS1
YHR037W,PUT2
YER044C-A,MEI4
YPR116W,RRG8
YBL075C,SSA3
SCR1,SCR1
YKL055C,OAR1
YHR218W-A,
YGL036W,
YOR011W,AUS1
YML119W,
RDN5-4,RDN5-4
YKL144C,RPC25
YPR043W,RPL43A
YJL025W,RRN7
YPL023C,MET12
